site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
PITN 11APR13 2011.2799 55664 1631 3  -42.8    772  0.884888   -564218 -0.014444    67  0.953093  0.0080 0.000756 0.000679 0.002935 -0.023971  0.092175 -0.061731  -5.1024802661  -42.7930296186    67.95309
PITN 11APR14 2011.2827 55665 1631 4  -42.8    772  0.885561   -564218 -0.015894    67  0.959942  0.0080 0.000746 0.000683 0.002923 -0.061270  0.098986 -0.104160  -5.1024802792  -42.7930296126    67.95994
PITN 11APR15 2011.2854 55666 1631 5  -42.8    772  0.884702   -564218 -0.013712    67  0.956531  0.0080 0.000755 0.000702 0.002974 -0.069537  0.032586 -0.052274  -5.1024802595  -42.7930296203    67.95653
PITN 11APR16 2011.2882 55667 1631 6  -42.8    772  0.883594   -564218 -0.014675    67  0.957289  0.0080 0.000757 0.000689 0.002950 -0.014932  0.041006 -0.019526  -5.1024802682  -42.7930296303    67.95729
PITN 11APR17 2011.2909 55668 1632 0  -42.8    772  0.884968   -564218 -0.015009    67  0.952948  0.0080 0.000779 0.000700 0.003066 -0.021738  0.074618  0.006900  -5.1024802712  -42.7930296179    67.95295
PITN 11APR18 2011.2936 55669 1632 1  -42.8    772  0.884705   -564218 -0.017309    67  0.956999  0.0080 0.000747 0.000685 0.002919 -0.033775  0.085053 -0.036211  -5.1024802920  -42.7930296203    67.95700
PITN 11APR19 2011.2964 55670 1632 2  -42.8    772  0.884360   -564218 -0.016889    67  0.958255  0.0080 0.000760 0.000675 0.002938 -0.039226  0.059628 -0.038619  -5.1024802882  -42.7930296234    67.95825
PITN 11APR20 2011.2991 55671 1632 3  -42.8    772  0.884130   -564218 -0.017578    67  0.960876  0.0080 0.000731 0.000669 0.002836 -0.023300  0.051232 -0.072624  -5.1024802944  -42.7930296255    67.96088
PITN 11APR21 2011.3018 55672 1632 4  -42.8    772  0.884767   -564218 -0.016513    67  0.956490  0.0080 0.000759 0.000689 0.002905 -0.018549  0.064658 -0.010071  -5.1024802848  -42.7930296197    67.95649
PITN 11APR22 2011.3046 55673 1632 5  -42.8    772  0.883731   -564218 -0.015239    67  0.958210  0.0080 0.000727 0.000669 0.002807 -0.026995  0.040801 -0.019950  -5.1024802733  -42.7930296291    67.95821
